Year,Team,Goal_Difference
14-15,Arsenal,35.0
14-15,Aston Villa,-26.0
14-15,Burnley,-25.0
14-15,Chelsea,41.0
14-15,Crystal Palace,-4.0
14-15,Everton,-2.0
14-15,Hull,-18.0
14-15,Leicester,-9.0
14-15,Liverpool,4.0
14-15,Man City,45.0
14-15,Man United,25.0
14-15,Newcastle,-23.0
14-15,QPR,-31.0
14-15,Southampton,21.0
14-15,Stoke,3.0
14-15,Sunderland,-22.0
14-15,Swansea,-3.0
14-15,Tottenham,5.0
14-15,West Brom,-13.0
14-15,West Ham,-3.0
15-16,Arsenal,29.0
15-16,Aston Villa,-49.0
15-16,Bournemouth,-22.0
15-16,Chelsea,6.0
15-16,Crystal Palace,-12.0
15-16,Everton,4.0
15-16,Leicester,32.0
15-16,Liverpool,13.0
15-16,Man City,30.0
15-16,Man United,14.0
15-16,Newcastle,-21.0
15-16,Norwich,-28.0
15-16,Southampton,18.0
15-16,Stoke,-14.0
15-16,Sunderland,-14.0
15-16,Swansea,-10.0
15-16,Tottenham,34.0
15-16,Watford,-10.0
15-16,West Brom,-14.0
15-16,West Ham,14.0
16-17,Arsenal,33.0
16-17,Bournemouth,-12.0
16-17,Burnley,-16.0
16-17,Chelsea,52.0
16-17,Crystal Palace,-13.0
16-17,Everton,18.0
16-17,Hull,-43.0
16-17,Leicester,-15.0
16-17,Liverpool,36.0
16-17,Man City,41.0
16-17,Man United,25.0
16-17,Middlesbrough,-26.0
16-17,Southampton,-7.0
16-17,Stoke,-15.0
16-17,Sunderland,-40.0
16-17,Swansea,-25.0
16-17,Tottenham,60.0
16-17,Watford,-28.0
16-17,West Brom,-8.0
16-17,West Ham,-17.0
17-18,Arsenal,23.0
17-18,Bournemouth,-16.0
17-18,Brighton,-20.0
17-18,Burnley,-3.0
17-18,Chelsea,24.0
17-18,Crystal Palace,-10.0
17-18,Everton,-14.0
17-18,Huddersfield,-30.0
17-18,Leicester,-4.0
17-18,Liverpool,46.0
17-18,Man City,79.0
17-18,Man United,40.0
17-18,Newcastle,-8.0
17-18,Southampton,-19.0
17-18,Stoke,-33.0
17-18,Swansea,-28.0
17-18,Tottenham,38.0
17-18,Watford,-20.0
17-18,West Brom,-25.0
17-18,West Ham,-20.0
18-19,Arsenal,22.0
18-19,Bournemouth,-14.0
18-19,Brighton,-25.0
18-19,Burnley,-23.0
18-19,Cardiff,-35.0
18-19,Chelsea,24.0
18-19,Crystal Palace,-2.0
18-19,Everton,8.0
18-19,Fulham,-47.0
18-19,Huddersfield,-54.0
18-19,Leicester,3.0
18-19,Liverpool,67.0
18-19,Man City,72.0
18-19,Man United,11.0
18-19,Newcastle,-6.0
18-19,Southampton,-20.0
18-19,Tottenham,28.0
18-19,Watford,-7.0
18-19,West Ham,-3.0
18-19,Wolves,1.0
19-20,Arsenal,8.0
