Year,Winner,Wins
19-20,Liverpool,32
18-19,Man City,32
17-18,Man City,32
18-19,Liverpool,30
16-17,Chelsea,30
21-22,Man City,29
22-23,Man City,28
21-22,Liverpool,28
20-21,Man City,27
22-23,Arsenal,26
16-17,Tottenham,26
14-15,Chelsea,26
19-20,Man City,26
23-24,Arsenal,26
23-24,Man City,25
17-18,Man United,25
14-15,Man City,24
18-19,Tottenham,23
23-24,Liverpool,23
16-17,Man City,23
15-16,Leicester,23
17-18,Tottenham,23
22-23,Man United,23
16-17,Arsenal,23
16-17,Liverpool,22
21-22,Arsenal,22
21-22,Tottenham,22
14-15,Arsenal,22
18-19,Chelsea,21
18-19,Arsenal,21
17-18,Liverpool,21
21-22,Chelsea,21
17-18,Chelsea,21
20-21,Man United,21
15-16,Arsenal,20
19-20,Chelsea,20
14-15,Man United,20
23-24,Aston Villa,20
20-21,Leicester,20
20-21,Liverpool,20
15-16,Tottenham,19
20-21,West Ham,19
20-21,Chelsea,19
17-18,Arsenal,19
22-23,Newcastle,19
14-15,Tottenham,19
22-23,Liverpool,19
15-16,Man City,19
15-16,Man United,19
18-19,Man United,19
22-23,Brighton,18
19-20,Man United,18
22-23,Tottenham,18
22-23,Aston Villa,18
16-17,Man United,18
19-20,Leicester,18
14-15,Liverpool,18
15-16,Southampton,18
20-21,Arsenal,18
14-15,Southampton,18
20-21,Tottenham,18
20-21,Leeds,18
23-24,Tottenham,18
20-21,Everton,17
16-17,Everton,17
23-24,Newcastle,17
18-19,Wolves,16
21-22,West Ham,16
23-24,Man United,16
15-16,West Ham,16
15-16,Liverpool,16
19-20,Tottenham,16
14-15,Swansea,16
21-22,Man United,16
20-21,Aston Villa,16
21-22,Wolves,15
22-23,Fulham,15
18-19,Leicester,15
18-19,West Ham,15
18-19,Everton,15
23-24,Chelsea,15
22-23,Brentford,15
19-20,Burnley,15
14-15,Stoke,15
19-20,Wolves,15
19-20,Southampton,15
18-19,Watford,14
21-22,Leicester,14
19-20,Sheffield United,14
19-20,Arsenal,14
15-16,Stoke,14
17-18,Burnley,14
18-19,Crystal Palace,14
23-24,Bournemouth,13
21-22,Newcastle,13
17-18,Everton,13
21-22,Brentford,13
18-19,Bournemouth,13
19-20,Everton,13
23-24,Wolves,13
21-22,Aston Villa,13
14-15,Crystal Palace,13
23-24,West Ham,13
15-16,Swansea,12
20-21,Crystal Palace,12
16-17,Bournemouth,12
16-17,Crystal Palace,12
16-17,West Ham,12
16-17,West Brom,12
16-17,Leicester,12
20-21,Newcastle,12
18-19,Newcastle,12
20-21,Southampton,12
16-17,Swansea,12
16-17,Southampton,12
20-21,Wolves,12
21-22,Brighton,12
14-15,Everton,12
23-24,Brighton,12
15-16,Chelsea,12
14-15,West Ham,12
23-24,Everton,12
23-24,Fulham,12
15-16,Watford,12
17-18,Newcastle,12
17-18,Leicester,12
22-23,Chelsea,11
16-17,Burnley,11
22-23,Crystal Palace,11
15-16,Everton,11
15-16,Crystal Palace,11
22-23,Bournemouth,11
15-16,Bournemouth,11
14-15,Leicester,11
22-23,West Ham,11
22-23,Wolves,11
21-22,Crystal Palace,11
14-15,West Brom,11
23-24,Crystal Palace,11
21-22,Everton,11
16-17,Stoke,11
19-20,Newcastle,11
16-17,Watford,11
17-18,Bournemouth,11
18-19,Burnley,11
17-18,Watford,11
19-20,Crystal Palace,11
17-18,Crystal Palace,11
15-16,West Brom,10
14-15,Aston Villa,10
19-20,West Ham,10
14-15,Newcastle,10
18-19,Cardiff,10
20-21,Burnley,10
17-18,West Ham,10
22-23,Nott'm Forest,9
23-24,Brentford,9
18-19,Brighton,9
15-16,Newcastle,9
19-20,Brighton,9
19-20,Bournemouth,9
19-20,Aston Villa,9
22-23,Leicester,9
18-19,Southampton,9
17-18,Huddersfield,9
15-16,Sunderland,9
21-22,Southampton,9
16-17,Hull,9
20-21,Brighton,9
21-22,Leeds,9
17-18,Brighton,9
15-16,Norwich,9
14-15,Hull,8
19-20,Watford,8
23-24,Nott'm Forest,8
14-15,QPR,8
22-23,Everton,8
17-18,Swansea,8
20-21,Sheffield United,7
18-19,Fulham,7
14-15,Burnley,7
17-18,Southampton,7
17-18,Stoke,7
22-23,Leeds,7
21-22,Burnley,7
14-15,Sunderland,7
23-24,Luton,6
21-22,Watford,6
17-18,West Brom,6
22-23,Southampton,6
16-17,Sunderland,6
19-20,Norwich,5
21-22,Norwich,5
20-21,West Brom,5
16-17,Middlesbrough,5
23-24,Burnley,5
20-21,Fulham,5
15-16,Aston Villa,3
23-24,Sheffield United,3
18-19,Huddersfield,3
