Year,Winner,Wins
14-15,Arsenal,12
14-15,Aston Villa,5
14-15,Burnley,4
14-15,Chelsea,15
14-15,Crystal Palace,6
14-15,Everton,7
14-15,Hull,5
14-15,Leicester,7
14-15,Liverpool,10
14-15,Man City,14
14-15,Man United,14
14-15,Newcastle,7
14-15,QPR,6
14-15,Southampton,11
14-15,Stoke,10
14-15,Sunderland,4
14-15,Swansea,9
14-15,Tottenham,10
14-15,West Brom,7
14-15,West Ham,9
15-16,Arsenal,12
15-16,Aston Villa,2
15-16,Bournemouth,5
15-16,Chelsea,5
15-16,Crystal Palace,6
15-16,Everton,6
15-16,Leicester,12
15-16,Liverpool,8
15-16,Man City,12
15-16,Man United,12
15-16,Newcastle,7
15-16,Norwich,6
15-16,Southampton,11
15-16,Stoke,8
15-16,Sunderland,6
15-16,Swansea,8
15-16,Tottenham,10
15-16,Watford,6
15-16,West Brom,6
15-16,West Ham,9
16-17,Arsenal,14
16-17,Bournemouth,9
16-17,Burnley,10
16-17,Chelsea,17
16-17,Crystal Palace,6
16-17,Everton,13
16-17,Hull,8
16-17,Leicester,10
16-17,Liverpool,12
16-17,Man City,11
16-17,Man United,8
16-17,Middlesbrough,4
16-17,Southampton,6
16-17,Stoke,7
16-17,Sunderland,3
16-17,Swansea,8
16-17,Tottenham,17
16-17,Watford,8
16-17,West Brom,9
16-17,West Ham,7
17-18,Arsenal,15
17-18,Bournemouth,7
17-18,Brighton,7
17-18,Burnley,7
17-18,Chelsea,11
17-18,Crystal Palace,7
17-18,Everton,10
17-18,Huddersfield,6
17-18,Leicester,7
17-18,Liverpool,12
17-18,Man City,16
17-18,Man United,15
17-18,Newcastle,8
17-18,Southampton,4
17-18,Stoke,5
17-18,Swansea,6
17-18,Tottenham,13
17-18,Watford,7
17-18,West Brom,3
17-18,West Ham,7
18-19,Arsenal,14
18-19,Bournemouth,8
18-19,Brighton,6
18-19,Burnley,7
18-19,Cardiff,6
18-19,Chelsea,12
18-19,Crystal Palace,5
18-19,Everton,10
18-19,Fulham,6
18-19,Huddersfield,2
18-19,Leicester,8
18-19,Liverpool,17
18-19,Man City,18
18-19,Man United,10
18-19,Newcastle,8
18-19,Southampton,5
18-19,Tottenham,12
18-19,Watford,8
18-19,West Ham,9
18-19,Wolves,10
19-20,Arsenal,10
19-20,Aston Villa,7
19-20,Bournemouth,5
19-20,Brighton,5
19-20,Burnley,8
19-20,Chelsea,11
19-20,Crystal Palace,6
19-20,Everton,8
19-20,Leicester,11
19-20,Liverpool,18
19-20,Man City,15
19-20,Man United,10
19-20,Newcastle,6
19-20,Norwich,4
19-20,Sheffield United,10
19-20,Southampton,6
19-20,Tottenham,12
19-20,Watford,6
19-20,West Ham,6
19-20,Wolves,8
20-21,Arsenal,8
20-21,Aston Villa,7
20-21,Brighton,4
20-21,Burnley,4
20-21,Chelsea,9
20-21,Crystal Palace,6
20-21,Everton,6
20-21,Fulham,2
20-21,Leeds,8
20-21,Leicester,9
20-21,Liverpool,10
20-21,Man City,13
20-21,Man United,9
20-21,Newcastle,6
20-21,Sheffield United,5
20-21,Southampton,8
20-21,Tottenham,10
20-21,West Brom,3
20-21,West Ham,10
20-21,Wolves,7
21-22,Arsenal,13
21-22,Aston Villa,6
21-22,Brentford,7
21-22,Brighton,5
21-22,Burnley,5
21-22,Chelsea,9
21-22,Crystal Palace,7
21-22,Everton,9
21-22,Leeds,4
21-22,Leicester,10
21-22,Liverpool,15
21-22,Man City,15
21-22,Man United,10
21-22,Newcastle,8
21-22,Norwich,3
21-22,Southampton,6
21-22,Tottenham,13
21-22,Watford,2
21-22,West Ham,9
21-22,Wolves,7
22-23,Arsenal,14
22-23,Aston Villa,12
22-23,Bournemouth,6
22-23,Brentford,10
22-23,Brighton,10
22-23,Chelsea,6
22-23,Crystal Palace,7
22-23,Everton,6
22-23,Fulham,8
22-23,Leeds,5
22-23,Leicester,5
22-23,Liverpool,13
22-23,Man City,17
22-23,Man United,15
22-23,Newcastle,11
22-23,Nott'm Forest,8
22-23,Southampton,2
22-23,Tottenham,12
22-23,West Ham,8
22-23,Wolves,9
23-24,Arsenal,14
23-24,Aston Villa,12
23-24,Bournemouth,7
23-24,Brentford,5
23-24,Brighton,8
23-24,Burnley,2
23-24,Chelsea,10
23-24,Crystal Palace,7
23-24,Everton,7
23-24,Fulham,9
23-24,Liverpool,14
23-24,Luton,4
23-24,Man City,13
23-24,Man United,9
23-24,Newcastle,12
23-24,Nott'm Forest,5
23-24,Sheffield United,2
23-24,Tottenham,12
23-24,West Ham,6
23-24,Wolves,8
