Year,Team,Result,Losses
14-15,Arsenal,Away Team Win,2
14-15,Aston Villa,Away Team Win,8
14-15,Burnley,Away Team Win,8
14-15,Crystal Palace,Away Team Win,10
14-15,Everton,Away Team Win,5
14-15,Hull,Away Team Win,9
14-15,Leicester,Away Team Win,7
14-15,Liverpool,Away Team Win,4
14-15,Man City,Away Team Win,2
14-15,Man United,Away Team Win,3
14-15,Newcastle,Away Team Win,7
14-15,QPR,Away Team Win,8
14-15,Southampton,Away Team Win,4
14-15,Stoke,Away Team Win,6
14-15,Sunderland,Away Team Win,7
14-15,Swansea,Away Team Win,5
14-15,Tottenham,Away Team Win,6
14-15,West Brom,Away Team Win,8
14-15,West Ham,Away Team Win,6
15-16,Arsenal,Away Team Win,3
15-16,Aston Villa,Away Team Win,12
15-16,Bournemouth,Away Team Win,9
15-16,Chelsea,Away Team Win,5
15-16,Crystal Palace,Away Team Win,10
15-16,Everton,Away Team Win,8
15-16,Leicester,Away Team Win,1
15-16,Liverpool,Away Team Win,3
15-16,Man City,Away Team Win,5
15-16,Man United,Away Team Win,2
15-16,Newcastle,Away Team Win,5
15-16,Norwich,Away Team Win,8
15-16,Southampton,Away Team Win,5
15-16,Stoke,Away Team Win,7
15-16,Sunderland,Away Team Win,7
15-16,Swansea,Away Team Win,5
15-16,Tottenham,Away Team Win,3
15-16,Watford,Away Team Win,7
15-16,West Brom,Away Team Win,8
15-16,West Ham,Away Team Win,3
16-17,Arsenal,Away Team Win,2
16-17,Bournemouth,Away Team Win,6
16-17,Burnley,Away Team Win,6
16-17,Chelsea,Away Team Win,2
16-17,Crystal Palace,Away Team Win,11
16-17,Everton,Away Team Win,2
16-17,Hull,Away Team Win,7
16-17,Leicester,Away Team Win,5
16-17,Liverpool,Away Team Win,2
16-17,Man City,Away Team Win,1
16-17,Man United,Away Team Win,1
16-17,Middlesbrough,Away Team Win,9
16-17,Southampton,Away Team Win,7
16-17,Stoke,Away Team Win,6
16-17,Sunderland,Away Team Win,11
16-17,Swansea,Away Team Win,8
16-17,Watford,Away Team Win,7
16-17,West Brom,Away Team Win,8
16-17,West Ham,Away Team Win,8
17-18,Arsenal,Away Team Win,2
17-18,Bournemouth,Away Team Win,7
17-18,Brighton,Away Team Win,4
17-18,Burnley,Away Team Win,7
17-18,Chelsea,Away Team Win,4
17-18,Crystal Palace,Away Team Win,7
17-18,Everton,Away Team Win,5
17-18,Huddersfield,Away Team Win,8
17-18,Leicester,Away Team Win,6
17-18,Man City,Away Team Win,1
17-18,Man United,Away Team Win,2
17-18,Newcastle,Away Team Win,7
17-18,Southampton,Away Team Win,8
17-18,Stoke,Away Team Win,9
17-18,Swansea,Away Team Win,10
17-18,Tottenham,Away Team Win,2
17-18,Watford,Away Team Win,6
17-18,West Brom,Away Team Win,7
17-18,West Ham,Away Team Win,6
18-19,Arsenal,Away Team Win,2
18-19,Bournemouth,Away Team Win,6
18-19,Brighton,Away Team Win,8
18-19,Burnley,Away Team Win,10
18-19,Cardiff,Away Team Win,11
18-19,Chelsea,Away Team Win,1
18-19,Crystal Palace,Away Team Win,9
18-19,Everton,Away Team Win,5
18-19,Fulham,Away Team Win,10
18-19,Huddersfield,Away Team Win,14
18-19,Leicester,Away Team Win,8
18-19,Man City,Away Team Win,1
18-19,Man United,Away Team Win,3
18-19,Newcastle,Away Team Win,10
18-19,Southampton,Away Team Win,6
18-19,Tottenham,Away Team Win,5
18-19,Watford,Away Team Win,8
18-19,West Ham,Away Team Win,6
18-19,Wolves,Away Team Win,5
19-20,Arsenal,Away Team Win,3
19-20,Aston Villa,Away Team Win,9
19-20,Bournemouth,Away Team Win,8
19-20,Brighton,Away Team Win,7
19-20,Burnley,Away Team Win,7
19-20,Chelsea,Away Team Win,5
19-20,Crystal Palace,Away Team Win,8
19-20,Everton,Away Team Win,4
19-20,Leicester,Away Team Win,4
19-20,Man City,Away Team Win,2
19-20,Man United,Away Team Win,2
19-20,Newcastle,Away Team Win,5
19-20,Norwich,Away Team Win,12
19-20,Sheffield United,Away Team Win,6
19-20,Southampton,Away Team Win,10
19-20,Tottenham,Away Team Win,4
19-20,Watford,Away Team Win,7
