Year,Team,Yellow_Cards,Red_Cards
14-15,Arsenal,27.0,1.0
14-15,Aston Villa,28.0,4.0
14-15,Burnley,33.0,0.0
14-15,Chelsea,36.0,1.0
14-15,Crystal Palace,26.0,2.0
14-15,Everton,27.0,0.0
14-15,Hull,28.0,3.0
14-15,Leicester,20.0,2.0
14-15,Liverpool,29.0,2.0
14-15,Man City,35.0,1.0
14-15,Man United,31.0,1.0
14-15,Newcastle,33.0,1.0
14-15,QPR,36.0,1.0
14-15,Southampton,23.0,2.0
14-15,Stoke,33.0,0.0
14-15,Sunderland,45.0,1.0
14-15,Swansea,25.0,1.0
14-15,Tottenham,37.0,1.0
14-15,West Brom,34.0,1.0
14-15,West Ham,33.0,1.0
15-16,Arsenal,20.0,1.0
15-16,Aston Villa,35.0,1.0
15-16,Bournemouth,25.0,0.0
15-16,Chelsea,27.0,3.0
15-16,Crystal Palace,32.0,1.0
15-16,Everton,23.0,1.0
15-16,Leicester,17.0,1.0
15-16,Liverpool,23.0,1.0
15-16,Man City,25.0,0.0
15-16,Man United,29.0,0.0
15-16,Newcastle,37.0,2.0
15-16,Norwich,29.0,0.0
15-16,Southampton,27.0,3.0
15-16,Stoke,24.0,2.0
15-16,Sunderland,29.0,1.0
15-16,Swansea,35.0,1.0
15-16,Tottenham,30.0,0.0
15-16,Watford,38.0,2.0
15-16,West Brom,25.0,2.0
15-16,West Ham,20.0,3.0
16-17,Arsenal,34.0,3.0
16-17,Bournemouth,24.0,1.0
16-17,Burnley,35.0,0.0
16-17,Chelsea,32.0,0.0
16-17,Crystal Palace,32.0,0.0
16-17,Everton,36.0,1.0
16-17,Hull,32.0,2.0
16-17,Leicester,30.0,0.0
16-17,Liverpool,22.0,0.0
16-17,Man City,32.0,4.0
16-17,Man United,36.0,1.0
16-17,Middlesbrough,38.0,0.0
16-17,Southampton,23.0,2.0
16-17,Stoke,35.0,2.0
16-17,Sunderland,35.0,2.0
16-17,Swansea,30.0,0.0
16-17,Tottenham,27.0,0.0
16-17,Watford,50.0,2.0
16-17,West Brom,33.0,0.0
16-17,West Ham,47.0,1.0
17-18,Arsenal,25.0,1.0
17-18,Bournemouth,31.0,1.0
17-18,Brighton,37.0,1.0
17-18,Burnley,27.0,0.0
17-18,Chelsea,19.0,3.0
