Division,Date,Time,Home_Team,Away_Team,Year,Full_Time_Home_Goals,Full_Time_Away_Goals,Full_Time_Result,Half_Time_Home_Goals,Half_Time_Away_Goals,Half_Time_Result,Referee,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_On_Target,Away_Team_Shots_On_Target,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,Winner,Result,Total_Goals_Scored,Goal_Difference_Home_Team,Goal_Difference_Away_Team,Unique_Key
E0,11/08/2023,20:00,Burnley,Man City,23-24,0.0,3.0,AWAY,0.0,2.0,A,C Pawson,6.0,17.0,1.0,8.0,11.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,Man City,Away Team Win,3.0,-3.0,3.0,E0-11/08/2023-20:00-Burnley-Man City
E0,12/08/2023,12:30,Arsenal,Nott'm Forest,23-24,2.0,1.0,HOME,2.0,0.0,H,M Oliver,15.0,6.0,7.0,2.0,12.0,12.0,8.0,3.0,2.0,2.0,0.0,0.0,Arsenal,Home Team Win,3.0,1.0,-1.0,E0-12/08/2023-12:30-Arsenal-Nott'm Forest
E0,12/08/2023,15:00,Bournemouth,West Ham,23-24,1.0,1.0,DRAW,0.0,0.0,D,P Bankes,14.0,16.0,5.0,3.0,9.0,14.0,10.0,4.0,1.0,4.0,0.0,0.0,Draw,Draw,2.0,0.0,0.0,E0-12/08/2023-15:00-Bournemouth-West Ham
E0,12/08/2023,15:00,Brighton,Luton,23-24,4.0,1.0,HOME,1.0,0.0,H,D Coote,27.0,9.0,12.0,3.0,11.0,12.0,6.0,7.0,2.0,2.0,0.0,0.0,Brighton,Home Team Win,5.0,3.0,-3.0,E0-12/08/2023-15:00-Brighton-Luton
E0,12/08/2023,15:00,Everton,Fulham,23-24,0.0,1.0,AWAY,0.0,0.0,D,S Attwell,19.0,9.0,9.0,2.0,12.0,6.0,10.0,4.0,0.0,2.0,0.0,0.0,Fulham,Away Team Win,1.0,-1.0,1.0,E0-12/08/2023-15:00-Everton-Fulham
E0,12/08/2023,15:00,Sheffield United,Crystal Palace,23-24,0.0,1.0,AWAY,0.0,0.0,D,J Brooks,8.0,24.0,1.0,8.0,18.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,Crystal Palace,Away Team Win,1.0,-1.0,1.0,E0-12/08/2023-15:00-Sheffield United-Crystal Palace
E0,12/08/2023,17:30,Newcastle,Aston Villa,23-24,5.0,1.0,HOME,2.0,1.0,H,A Madley,17.0,16.0,13.0,6.0,12.0,17.0,6.0,5.0,4.0,4.0,0.0,0.0,Newcastle,Home Team Win,6.0,4.0,-4.0,E0-12/08/2023-17:30-Newcastle-Aston Villa
E0,13/08/2023,14:00,Brentford,Tottenham,23-24,2.0,2.0,DRAW,2.0,2.0,D,R Jones,11.0,18.0,6.0,6.0,12.0,13.0,3.0,6.0,1.0,4.0,0.0,0.0,Draw,Draw,4.0,0.0,0.0,E0-13/08/2023-14:00-Brentford-Tottenham
E0,13/08/2023,16:30,Chelsea,Liverpool,23-24,1.0,1.0,DRAW,1.0,1.0,D,A Taylor,10.0,13.0,4.0,1.0,5.0,12.0,4.0,4.0,3.0,3.0,0.0,0.0,Draw,Draw,2.0,0.0,0.0,E0-13/08/2023-16:30-Chelsea-Liverpool
E0,14/08/2023,20:00,Man United,Wolves,23-24,1.0,0.0,HOME,0.0,0.0,D,S Hooper,15.0,23.0,3.0,6.0,14.0,10.0,8.0,7.0,2.0,3.0,0.0,0.0,Man United,Home Team Win,1.0,1.0,-1.0,E0-14/08/2023-20:00-Man United-Wolves
E0,18/08/2023,19:45,Nott'm Forest,Sheffield United,23-24,2.0,1.0,HOME,1.0,0.0,H,P Bankes,16.0,7.0,4.0,3.0,5.0,9.0,6.0,7.0,2.0,3.0,0.0,0.0,Nott'm Forest,Home Team Win,3.0,1.0,-1.0,E0-18/08/2023-19:45-Nott'm Forest-Sheffield United
E0,19/08/2023,15:00,Fulham,Brentford,23-24,0.0,3.0,AWAY,0.0,1.0,A,D Bond,10.0,17.0,2.0,8.0,13.0,12.0,5.0,5.0,2.0,2.0,1.0,0.0,Brentford,Away Team Win,3.0,-3.0,3.0,E0-19/08/2023-15:00-Fulham-Brentford
E0,19/08/2023,15:00,Liverpool,Bournemouth,23-24,3.0,1.0,HOME,2.0,1.0,H,T Bramall,26.0,13.0,10.0,5.0,11.0,13.0,10.0,2.0,1.0,3.0,1.0,0.0,Liverpool,Home Team Win,4.0,2.0,-2.0,E0-19/08/2023-15:00-Liverpool-Bournemouth
E0,19/08/2023,15:00,Wolves,Brighton,23-24,1.0,4.0,AWAY,0.0,1.0,A,A Madley,16.0,16.0,5.0,8.0,14.0,11.0,5.0,3.0,3.0,6.0,1.0,0.0,Brighton,Away Team Win,5.0,-3.0,3.0,E0-19/08/2023-15:00-Wolves-Brighton
E0,19/08/2023,17:30,Tottenham,Man United,23-24,2.0,0.0,HOME,0.0,0.0,D,M Oliver,17.0,22.0,6.0,6.0,9.0,8.0,5.0,6.0,1.0,3.0,0.0,0.0,Tottenham,Home Team Win,2.0,2.0,-2.0,E0-19/08/2023-17:30-Tottenham-Man United
E0,19/08/2023,20:00,Man City,Newcastle,23-24,1.0,0.0,HOME,1.0,0.0,H,R Jones,14.0,7.0,4.0,1.0,12.0,11.0,3.0,0.0,1.0,5.0,0.0,0.0,Man City,Home Team Win,1.0,1.0,-1.0,E0-19/08/2023-20:00-Man City-Newcastle
E0,20/08/2023,14:00,Aston Villa,Everton,23-24,4.0,0.0,HOME,2.0,0.0,H,A Taylor,13.0,9.0,7.0,2.0,8.0,12.0,7.0,6.0,3.0,4.0,0.0,0.0,Aston Villa,Home Team Win,4.0,4.0,-4.0,E0-20/08/2023-14:00-Aston Villa-Everton
